speed_kmh,iso,distance_m,bew_H,bew_V,bew_H_minus_V,mtf_H,mtf_V,mtf_V_minus_H
60,100,2.5,4.496,3.9784999999999995,0.517500000000001,0.11697666666666666,0.14413333333333334,0.027156666666666676
60,100,3.5,4.233,3.8075,0.42549999999999955,0.12162500000000001,0.151705,0.030079999999999996
60,100,4.5,4.5885,4.139,0.44949999999999957,0.112075,0.13627,0.024195000000000008
60,100,5.5,5.069090909090909,4.357272727272727,0.7118181818181819,0.10225454545454546,0.12158181818181818,0.01932727272727272
60,100,6.5,4.521818181818182,3.8077272727272726,0.7140909090909098,0.11427727272727273,0.13800909090909091,0.023731818181818187
60,200,2.5,3.9116666666666666,3.8099999999999996,0.10166666666666702,0.1283190476190476,0.1512357142857143,0.022916666666666696
60,200,3.5,4.309090909090909,3.8377272727272724,0.4713636363636362,0.12006363636363636,0.1520409090909091,0.03197727272727273
60,200,4.5,4.917916666666667,4.336250000000001,0.5816666666666661,0.10572083333333333,0.12971666666666667,0.02399583333333334
60,200,5.5,5.352083333333333,4.699166666666667,0.6529166666666661,0.09681250000000001,0.11557083333333333,0.01875833333333332
60,200,6.5,5.832083333333333,5.847916666666666,-0.015833333333333144,0.08958333333333333,0.0885125,-0.0010708333333333403
60,400,2.5,5.236875,5.81375,-0.5768749999999994,0.09805625,0.09231875,-0.005737499999999993
60,400,3.5,5.010909090909091,4.21375,0.7971590909090907,0.103,0.14549375,0.04249375000000001
60,400,4.5,7.775454545454545,7.3933333333333335,0.38212121212121186,0.06512727272727273,0.06768333333333333,0.0025560606060606034
60,400,5.5,4.4823076923076925,4.016538461538461,0.46576923076923116,0.11525,0.13427307692307694,0.019023076923076934
60,400,6.5,4.622916666666667,3.841666666666667,0.78125,0.11295833333333333,0.1379875,0.025029166666666686
60,800,2.5,4.075,3.6187500000000004,0.4562499999999998,0.13418125,0.16793750000000002,0.033756250000000015
60,800,3.5,4.263333333333334,3.9522222222222223,0.31111111111111134,0.12163333333333333,0.15011666666666665,0.02848333333333332
60,800,4.5,4.85375,4.345,0.50875,0.10744583333333334,0.12784166666666666,0.02039583333333332
60,800,5.5,5.3275,4.673333333333333,0.6541666666666668,0.09985416666666667,0.11589166666666667,0.016037499999999996
60,800,6.5,6.084615384615384,6.044615384615384,0.040000000000000036,0.08478846153846153,0.08619615384615384,0.0014076923076923042
60,1600,2.5,4.352777777777778,4.717222222222222,-0.36444444444444457,0.15403333333333333,0.15504444444444443,0.0010111111111111015
60,1600,3.5,3.597,3.4585,0.13850000000000007,0.151505,0.189105,0.037599999999999995
60,1600,4.5,4.896818181818182,4.319999999999999,0.576818181818183,0.10591363636363636,0.12779545454545455,0.021881818181818183
60,1600,5.5,5.4437500000000005,4.786666666666666,0.6570833333333344,0.0955625,0.115075,0.019512500000000002
60,1600,6.5,6.202916666666667,6.252916666666667,-0.04999999999999982,0.0840625,0.0821625,-0.001899999999999999
80,100,2.5,4.703749999999999,3.958125,0.7456249999999995,0.1064125,0.1458375,0.039425000000000016
80,100,3.5,4.588125,3.953125,0.6349999999999998,0.10961875,0.14886875,0.03924999999999999
80,100,4.5,5.125555555555556,4.310277777777778,0.8152777777777773,0.09946111111111111,0.13165555555555555,0.03219444444444444
80,100,5.5,5.350714285714285,4.514285714285714,0.8364285714285709,0.09670714285714285,0.12145714285714285,0.024749999999999994
80,100,6.5,4.816875,3.8125,1.0043749999999996,0.10751875,0.1380875,0.030568750000000006
80,200,2.5,4.776875,4.154375,0.6225000000000005,0.10625,0.140875,0.034625
80,200,3.5,4.783125,4.045,0.7381250000000001,0.1049125,0.14619375,0.041281250000000005
80,200,4.5,5.3155,4.4285,0.8870000000000005,0.095115,0.12618000000000001,0.03106500000000001
80,200,5.5,5.631666666666667,4.657777777777778,0.9738888888888892,0.0912,0.11555555555555556,0.02435555555555556
80,200,6.5,6.434,6.1075,0.32650000000000023,0.08024,0.08341000000000001,0.003170000000000006
80,400,2.5,5.635000000000001,5.198888888888889,0.4361111111111118,0.09381666666666667,0.10381111111111112,0.009994444444444445
80,400,3.5,5.045,4.089285714285714,0.9557142857142855,0.09876875,0.14609999999999998,0.04733124999999998
80,400,4.5,8.200000000000001,7.64625,0.5537500000000009,0.060733333333333334,0.06573125,0.004997916666666671
80,400,5.5,4.613125,4.146875,0.4662500000000005,0.10864375000000001,0.13008124999999998,0.02143749999999997
80,400,6.5,4.983124999999999,3.909375,1.0737499999999995,0.1014,0.135625,0.03422499999999999
80,800,2.5,4.558888888888889,3.7266666666666666,0.8322222222222226,0.11839444444444444,0.16383333333333333,0.04543888888888889
80,800,3.5,4.7965,4.071,0.7255000000000003,0.10406,0.14193,0.03787
80,800,4.5,5.143888888888889,4.3533333333333335,0.7905555555555557,0.09878888888888888,0.1264722222222222,0.027683333333333324
80,800,5.5,5.5975,4.6825,0.915,0.090535,0.11632,0.025785000000000002
80,800,6.5,6.598888888888889,6.173333333333334,0.42555555555555546,0.07809444444444444,0.08257222222222221,0.004477777777777775
80,1600,2.5,4.848000000000001,4.67725,0.17075000000000085,0.15126,0.1577775,0.006517499999999982
80,1600,3.5,4.357,3.6729999999999996,0.6840000000000006,0.12845,0.18022,0.05176999999999998
80,1600,4.5,5.3275,4.5355,0.7919999999999998,0.096025,0.12201999999999999,0.02599499999999999
80,1600,5.5,5.470555555555555,4.524444444444445,0.9461111111111107,0.09212222222222223,0.11750000000000001,0.025377777777777777
80,1600,6.5,6.646111111111111,6.427777777777778,0.21833333333333282,0.07825555555555555,0.08035555555555556,0.0021000000000000046
