speed_kmh,shutter_us,illum_lx,iso,bew_mean,bew_sd,mtf50_mean,mtf50_sd,n_frames
0,50,15000,1600,3.1545,0.21808315652038535,0.16876249999999998,0.01091322079671692,10
10,50,15000,1600,3.3869999999999996,0.5667320911664477,0.1601375,0.02291818328314878,10
30,50,15000,1600,3.47725,0.5689914322729297,0.1524175,0.02402617144852014,10
50,50,15000,1600,3.74475,0.8065104740403829,0.1438125,0.03373387675304269,10
70,50,15000,1600,4.22325,1.1443893740653497,0.1310575,0.04110929999468041,10
0,100,15000,1600,3.3017499999999997,0.2871560872087735,0.1618425,0.012362893067563104,10
10,100,15000,1600,3.4884999999999997,0.6539758968679279,0.1562475,0.025998175416748003,10
30,100,15000,1600,3.8795,0.9049380612709598,0.1394525,0.0372097308827734,10
50,100,15000,1600,4.68975,1.7260157002091323,0.1242775,0.050902663757720755,10
70,100,15000,1600,5.8462499999999995,2.6924406238871623,0.1088025,0.054364773024934365,10
0,250,15000,1250,3.33525,0.2813663794302442,0.1592375,0.011424948174476474,10
10,250,15000,1250,3.93775,0.8324780303723529,0.13608499999999998,0.03086914274294331,10
30,250,15000,1250,5.977,2.882468514458069,0.1091075,0.05681233482403178,10
50,250,15000,1250,8.590250000000001,5.391435087491231,0.0943675,0.06181914469899911,10
70,250,15000,1250,11.333250000000001,7.869615999960999,0.081775,0.05826199334404078,10
0,500,15000,640,3.2104999999999997,0.2006430451796105,0.165715,0.009499530459310526,10
10,500,15000,640,4.67475,1.6851561500347672,0.12373749999999999,0.04988826429606149,10
30,500,15000,640,9.93375,6.624410375946478,0.0882175,0.06081565387775542,10
50,500,15000,640,15.858249999999998,12.068542217268826,0.069625,0.05304368482675388,10
70,500,15000,640,21.58725,17.148855990307805,0.05606,0.04402726308478466,10
0,50,40000,1600,3.4305,0.039633186519433705,0.1585625,0.0030278477243919077,10
10,50,40000,1600,3.532,0.2569681528496238,0.150835,0.008321549387615656,10
30,50,40000,1600,3.6799999999999997,0.29278607243263194,0.143985,0.011002225851354365,10
50,50,40000,1600,3.94175,0.5410449806186464,0.133775,0.021399941588705337,10
70,50,40000,1600,4.3995,0.9424030035248357,0.12150749999999999,0.03233884447289521,10
0,100,40000,1600,3.461,0.04683678266625845,0.157105,0.002137195653925461,10
10,100,40000,1600,3.5305,0.17686524754590355,0.1519725,0.007930661268639234,10
30,100,40000,1600,4.118250000000001,0.702703941178195,0.12989250000000002,0.027253687703154086,10
50,100,40000,1600,4.9985,1.5190718253349031,0.1132625,0.04027660243798338,10
70,100,40000,1600,5.9990000000000006,2.4526530211396107,0.10221,0.04692466695056079,10
0,250,40000,1250,3.559,0.042289727507180616,0.157355,0.001340944286295074,10
10,250,40000,1250,3.9549999999999996,0.46393341173741237,0.13588,0.021391927892253384,10
30,250,40000,1250,5.96575,2.409136815826038,0.10485,0.048128924993735646,10
50,250,40000,1250,8.286249999999999,4.6435778727750785,0.090705,0.054236683788936174,10
70,250,40000,1250,10.7315,6.874905185949076,0.07911,0.0524541268257573,10
0,500,40000,640,3.1935000000000002,0.04682273401941252,0.1734875,0.003659230397947496,10
10,500,40000,640,4.5555,1.5970918472088744,0.1267625,0.04872129350488834,10
30,500,40000,640,9.1955,6.128203329902785,0.0951625,0.06474063816694393,10
50,500,40000,640,14.480250000000002,11.026105204778434,0.076955,0.057931333899440135,10
70,500,40000,640,19.921071428571427,16.050466944869598,0.06236071428571428,0.04861721434039367,7
