speed_kmh,shutter_us,illum_lx,iso,bew_H,bew_V,bew_H_minus_V,mtf_H,mtf_V,mtf_V_minus_H
0,50,15000,1600,3.364,2.945,0.41900000000000004,0.158445,0.17908,0.020634999999999987
10,50,15000,1600,3.682,3.092,0.5899999999999999,0.14914,0.17113499999999998,0.021994999999999987
30,50,15000,1600,3.9185000000000003,3.036,0.8825000000000003,0.13267500000000002,0.17216,0.03948499999999999
50,50,15000,1600,4.5,2.9895,1.5105,0.11188499999999998,0.17574,0.06385500000000002
70,50,15000,1600,5.303,3.1435,2.1595,0.09197,0.170145,0.078175
0,100,15000,1600,3.5784999999999996,3.025,0.5534999999999997,0.149965,0.17372,0.023755000000000026
10,100,15000,1600,3.8674999999999997,3.1094999999999997,0.758,0.141335,0.17116,0.029825000000000018
30,100,15000,1600,4.737,3.022,1.7150000000000003,0.103905,0.175,0.07109499999999999
50,100,15000,1600,6.366,3.0134999999999996,3.3525,0.07501,0.173545,0.09853500000000001
70,100,15000,1600,8.4645,3.228,5.2364999999999995,0.05619500000000001,0.16141,0.10521499999999999
0,250,15000,1250,3.6090000000000004,3.0615,0.5475000000000003,0.14824500000000002,0.17023,0.021984999999999977
10,250,15000,1250,4.6945,3.181,1.5134999999999996,0.107345,0.164825,0.05748
30,250,15000,1250,8.785,3.169,5.616,0.053815,0.1644,0.11058499999999999
50,250,15000,1250,13.844,3.3365,10.5075,0.034295,0.15444,0.120145
70,250,15000,1250,19.0025,3.664,15.338500000000002,0.02509,0.13846,0.11337
0,500,15000,640,3.4055,3.0155000000000003,0.3899999999999997,0.156505,0.174925,0.018419999999999992
10,500,15000,640,6.3075,3.0420000000000003,3.2655,0.07542,0.172055,0.09663500000000001
30,500,15000,640,16.39,3.4775,12.912500000000001,0.029035,0.1474,0.118365
50,500,15000,640,27.619999999999997,4.096500000000001,23.5235,0.01795,0.1213,0.10335
70,500,15000,640,38.301,4.8735,33.4275,0.013175000000000001,0.09894499999999999,0.08576999999999999
0,50,40000,1600,3.4385,3.4225000000000003,0.01599999999999957,0.15918000000000002,0.157945,-0.0012350000000000139
10,50,40000,1600,3.6420000000000003,3.4219999999999997,0.22000000000000064,0.14658,0.15509,0.008510000000000018
30,50,40000,1600,3.9165,3.4435000000000002,0.47299999999999986,0.13424,0.15373,0.019490000000000007
50,50,40000,1600,4.4575000000000005,3.4259999999999997,1.0315000000000007,0.11304499999999999,0.154505,0.04146000000000001
70,50,40000,1600,5.307,3.492,1.8150000000000004,0.09008,0.152935,0.062855
0,100,40000,1600,3.4975,3.4244999999999997,0.0730000000000004,0.15689,0.15732,0.00042999999999998595
10,100,40000,1600,3.624,3.437,0.18700000000000028,0.145905,0.15804,0.012135000000000007
30,100,40000,1600,4.793,3.4435000000000002,1.3495,0.10353000000000001,0.156255,0.052724999999999994
50,100,40000,1600,6.475499999999999,3.5215000000000005,2.953999999999999,0.074085,0.15244,0.078355
70,100,40000,1600,8.388,3.6100000000000003,4.778,0.05655,0.14787,0.09132
0,250,40000,1250,3.521,3.597,-0.07600000000000007,0.15821000000000002,0.1565,-0.001710000000000017
10,250,40000,1250,4.3925,3.5174999999999996,0.8750000000000004,0.11518500000000001,0.156575,0.04138999999999998
30,250,40000,1250,8.3125,3.6189999999999998,4.6935,0.05796,0.15174,0.09378000000000002
50,250,40000,1250,12.8105,3.7619999999999996,9.0485,0.03785,0.14356,0.10571
70,250,40000,1250,17.431,4.032,13.399000000000001,0.027995000000000003,0.13022499999999998,0.10222999999999997
0,500,40000,640,3.2370000000000005,3.15,0.08700000000000063,0.170135,0.17684,0.006704999999999989
10,500,40000,640,6.099,3.012,3.087,0.079815,0.17371,0.093895
30,500,40000,640,15.168000000000001,3.223,11.945,0.03211,0.158215,0.126105
50,500,40000,640,25.224,3.7365000000000004,21.4875,0.02052,0.13338999999999998,0.11286999999999998
70,500,40000,640,35.385,4.457142857142857,30.927857142857142,0.01552857142857143,0.10919285714285713,0.0936642857142857
