IQA,SFR,N,PLCC,PLCC_p,SROCC,SROCC_p,KRCC,KRCC_p
hsmb,R1090_H,50,0.2249,0.1163,0.2931,0.0389,0.1722,0.0776
hsmb,R1090_V,50,0.1095,0.449,0.1436,0.3197,0.089,0.3619
hsmb,MTF50_H,50,-0.4377,0.0015,-0.3402,0.0156,-0.2163,0.0266
hsmb,MTF50_V,50,-0.3971,0.0043,-0.4548,0.0009,-0.2898,0.003
cpbd,R1090_H,50,0.2516,0.078,0.1664,0.2482,0.102,0.2957
cpbd,R1090_V,50,0.2567,0.0719,0.2736,0.0546,0.1624,0.096
cpbd,MTF50_H,50,-0.1592,0.2694,-0.1538,0.2862,-0.1004,0.3035
cpbd,MTF50_V,50,-0.1632,0.2575,-0.1395,0.334,-0.0922,0.3445
niqe,R1090_H,50,-0.1372,0.3421,-0.1239,0.3912,-0.1167,0.2316
niqe,R1090_V,50,-0.1987,0.1666,-0.1686,0.2418,-0.1412,0.1479
niqe,MTF50_H,50,-0.0782,0.5893,0.0526,0.7169,0.0629,0.5195
niqe,MTF50_V,50,0.0575,0.6917,0.0814,0.5742,0.0971,0.3195
niqe_matlab,R1090_H,50,-0.0161,0.9118,-0.1289,0.3722,-0.1347,0.1675
niqe_matlab,R1090_V,50,-0.1273,0.3784,-0.1698,0.2383,-0.1624,0.096
niqe_matlab,MTF50_H,50,-0.2645,0.0634,0.0613,0.6723,0.0776,0.4268
niqe_matlab,MTF50_V,50,-0.0972,0.502,0.077,0.5952,0.1118,0.2518
piqe,R1090_H,50,-0.1973,0.1696,-0.1295,0.3701,-0.089,0.3619
piqe,R1090_V,50,-0.1766,0.22,-0.0404,0.7807,-0.0155,0.8737
piqe,MTF50_H,50,0.3336,0.0179,0.2324,0.1044,0.1559,0.1101
piqe,MTF50_V,50,0.2376,0.0966,0.1496,0.2998,0.0857,0.3798
brisque,R1090_H,50,-0.3472,0.0135,-0.4532,0.001,-0.2996,0.0021
brisque,R1090_V,50,-0.3036,0.0321,-0.3899,0.0051,-0.2653,0.0066
brisque,MTF50_H,50,0.4952,0.0003,0.5003,0.0002,0.3404,0.0005
brisque,MTF50_V,50,0.4138,0.0028,0.5216,0.0001,0.3714,0.0001
brisque_matlab,R1090_H,50,-0.1552,0.282,-0.1635,0.2566,-0.1184,0.2252
brisque_matlab,R1090_V,50,-0.0979,0.4988,-0.0193,0.8944,-0.0155,0.8737
brisque_matlab,MTF50_H,50,0.315,0.0259,0.2311,0.1063,0.169,0.0834
brisque_matlab,MTF50_V,50,0.2561,0.0727,0.2525,0.0768,0.1902,0.0513
dbcnn,R1090_H,50,0.1102,0.4463,0.1724,0.2311,0.1112,0.2552
dbcnn,R1090_V,50,0.103,0.4767,0.1615,0.2625,0.1063,0.2768
dbcnn,MTF50_H,50,-0.2006,0.1625,-0.238,0.096,-0.1586,0.1046
dbcnn,MTF50_V,50,-0.1178,0.4152,-0.193,0.1793,-0.1308,0.1807
arniqa,R1090_H,50,-0.6912,0.0,-0.72,0.0,-0.5547,0.0
arniqa,R1090_V,50,-0.5767,0.0,-0.5955,0.0,-0.4747,0.0
arniqa,MTF50_H,50,0.8404,0.0,0.7622,0.0,0.5956,0.0
arniqa,MTF50_V,50,0.7754,0.0,0.8008,0.0,0.6413,0.0
