condition,R1090_H,R1090_V,MTF50_H,MTF50_V
low_2.5m_60km_2.5m_ISO100,4.631818181818182,4.0065625,0.11445757575757576,0.14191874999999998
low_2.5m_60km_2.5m_ISO1600,4.502666666666666,4.717222222222222,0.14736,0.15504444444444443
low_2.5m_60km_2.5m_ISO200,3.9153333333333333,3.785625,0.12836,0.15234999999999999
low_2.5m_60km_2.5m_ISO400,5.2825,5.781111111111111,0.09744166666666669,0.09247222222222222
low_2.5m_60km_2.5m_ISO800,4.074999999999999,3.6187500000000004,0.13418125,0.16793750000000002
low_2.5m_80km_2.5m_ISO100,4.703749999999999,3.958125,0.10641250000000001,0.1458375
low_2.5m_80km_2.5m_ISO1600,4.957619047619048,4.631818181818181,0.1425047619047619,0.15684090909090906
low_2.5m_80km_2.5m_ISO200,4.776875,4.154375,0.10625000000000001,0.140875
low_2.5m_80km_2.5m_ISO400,5.653571428571429,5.198888888888889,0.09402142857142858,0.10381111111111112
low_2.5m_80km_2.5m_ISO800,4.558888888888889,3.7266666666666675,0.11839444444444447,0.16383333333333336
low_3.5m_60km_3.5m_ISO100,4.28625,3.8075,0.12078125,0.15170499999999998
low_3.5m_60km_3.5m_ISO1600,3.642000000000001,3.4585,0.1502466666666667,0.189105
low_3.5m_60km_3.5m_ISO200,4.335294117647059,3.8377272727272724,0.11918235294117648,0.15204090909090912
low_3.5m_60km_3.5m_ISO400,5.01090909090909,4.2092307692307696,0.103,0.14484615384615385
low_3.5m_60km_3.5m_ISO800,4.319285714285715,3.9522222222222223,0.12039285714285716,0.15011666666666665
low_3.5m_80km_3.5m_ISO100,4.590833333333332,3.953125,0.109425,0.14886875
low_3.5m_80km_3.5m_ISO1600,4.490625,3.6730000000000005,0.12503124999999998,0.18022
low_3.5m_80km_3.5m_ISO200,4.8076923076923075,4.045,0.10489230769230769,0.14619374999999998
low_3.5m_80km_3.5m_ISO400,5.0172727272727276,4.053636363636364,0.09941818181818184,0.1456818181818182
low_3.5m_80km_3.5m_ISO800,4.819999999999999,4.061578947368421,0.10400000000000001,0.14211052631578946
low_4.5m_60km_4.5m_ISO100,4.564615384615385,4.10125,0.11286923076923075,0.13725624999999997
low_4.5m_60km_4.5m_ISO1600,4.924705882352941,4.351764705882353,0.10515294117647059,0.12719411764705882
low_4.5m_60km_4.5m_ISO200,4.918333333333333,4.323333333333334,0.10576111111111113,0.13009444444444446
low_4.5m_60km_4.5m_ISO400,7.775454545454545,7.3933333333333335,0.06512727272727271,0.06768333333333333
low_4.5m_60km_4.5m_ISO800,4.881666666666667,4.322222222222222,0.10738888888888888,0.12828888888888892
low_4.5m_80km_4.5m_ISO100,5.081875,4.234999999999999,0.10037499999999999,0.13340000000000002
low_4.5m_80km_4.5m_ISO1600,5.352,4.535500000000001,0.09534666666666666,0.12201999999999999
low_4.5m_80km_4.5m_ISO200,5.322,4.3806666666666665,0.09505333333333331,0.12701333333333334
low_4.5m_80km_4.5m_ISO400,8.252307692307692,7.603076923076923,0.06058461538461539,0.0659923076923077
low_4.5m_80km_4.5m_ISO800,5.167857142857143,4.3533333333333335,0.09802142857142858,0.1264722222222222
low_5.5m_60km_5.5m_ISO100,5.047499999999999,4.357272727272728,0.10336875,0.1215818181818182
low_5.5m_60km_5.5m_ISO1600,5.4437500000000005,4.786666666666666,0.0955625,0.115075
low_5.5m_60km_5.5m_ISO200,5.3621739130434785,4.699166666666667,0.09656086956521738,0.11557083333333333
low_5.5m_60km_5.5m_ISO400,4.506,4.016538461538461,0.11506999999999998,0.13427307692307694
low_5.5m_60km_5.5m_ISO800,5.3183333333333325,4.673333333333333,0.10005555555555555,0.11589166666666666
low_5.5m_80km_5.5m_ISO100,5.350714285714285,4.514285714285714,0.09670714285714285,0.12145714285714285
low_5.5m_80km_5.5m_ISO1600,5.503571428571428,4.524444444444444,0.09204285714285713,0.11750000000000001
low_5.5m_80km_5.5m_ISO200,5.631666666666666,4.657777777777778,0.0912,0.11555555555555556
low_5.5m_80km_5.5m_ISO400,4.628333333333333,4.1468750000000005,0.10845833333333332,0.13008124999999998
low_5.5m_80km_5.5m_ISO800,5.64,4.6825,0.08950588235294117,0.11632
low_6.5m_60km_6.5m_ISO100,4.521818181818182,3.8077272727272717,0.11427727272727273,0.13800909090909091
low_6.5m_60km_6.5m_ISO1600,6.202916666666666,6.252916666666667,0.0840625,0.08216250000000001
low_6.5m_60km_6.5m_ISO200,5.832083333333333,5.847916666666667,0.08958333333333335,0.0885125
low_6.5m_60km_6.5m_ISO400,4.622916666666667,3.841666666666667,0.11295833333333333,0.1379875
low_6.5m_60km_6.5m_ISO800,6.084615384615385,6.044615384615384,0.08478846153846153,0.08619615384615385
low_6.5m_80km_6.5m_ISO100,4.816875,3.8125,0.10751875,0.1380875
low_6.5m_80km_6.5m_ISO1600,6.646111111111111,6.427777777777778,0.07825555555555556,0.08035555555555557
low_6.5m_80km_6.5m_ISO200,6.434,6.1075,0.08024,0.08341000000000001
low_6.5m_80km_6.5m_ISO400,4.983124999999999,3.909375,0.10139999999999999,0.135625
low_6.5m_80km_6.5m_ISO800,6.598888888888889,6.173333333333334,0.07809444444444445,0.08257222222222221
