condition,bew_h,bew_v,lux,iso,shutter_us,speed_kmh,anisotropy
15000lx_0640_500us_00,1.1702,1.3582,15000,640,500,0,-0.1880
15000lx_0640_500us_10,1.6845,1.3762,15000,640,500,10,0.3083
15000lx_0640_500us_30,3.0276,1.6026,15000,640,500,30,1.4250
15000lx_0640_500us_50,3.6628,1.7693,15000,640,500,50,1.8935
15000lx_0640_500us_70,4.1520,1.9752,15000,640,500,70,2.1768
15000lx_1250_250us_00,1.1643,1.3151,15000,1250,250,0,-0.1508
15000lx_1250_250us_10,1.3466,1.3592,15000,1250,250,10,-0.0126
15000lx_1250_250us_30,2.0218,1.4276,15000,1250,250,30,0.5942
15000lx_1250_250us_50,2.5752,1.5317,15000,1250,250,50,1.0435
15000lx_1250_250us_70,2.9658,1.6392,15000,1250,250,70,1.3266
15000lx_1600_050us_00,0.9637,1.1232,15000,1600,50,0,-0.1595
15000lx_1600_050us_10,0.9493,1.0988,15000,1600,50,10,-0.1495
15000lx_1600_050us_30,0.9633,1.1036,15000,1600,50,30,-0.1403
15000lx_1600_050us_50,0.9989,1.1231,15000,1600,50,50,-0.1242
15000lx_1600_050us_70,1.0243,1.1137,15000,1600,50,70,-0.0894
15000lx_1600_100us_00,1.0664,1.1991,15000,1600,100,0,-0.1327
15000lx_1600_100us_10,1.0947,1.2021,15000,1600,100,10,-0.1074
15000lx_1600_100us_30,1.2103,1.2233,15000,1600,100,30,-0.0130
15000lx_1600_100us_50,1.3555,1.2467,15000,1600,100,50,0.1088
15000lx_1600_100us_70,1.5619,1.2861,15000,1600,100,70,0.2758
40000lx_0640_500us_00,1.3162,1.5402,40000,640,500,0,-0.2240
40000lx_0640_500us_10,1.9108,1.5845,40000,640,500,10,0.3263
40000lx_0640_500us_30,3.3121,1.7847,40000,640,500,30,1.5274
40000lx_0640_500us_50,3.8651,2.0051,40000,640,500,50,1.8600
40000lx_0640_500us_70,4.2911,2.1679,40000,640,500,70,2.1232
40000lx_1250_250us_00,1.3277,1.5179,40000,1250,250,0,-0.1902
40000lx_1250_250us_10,1.5150,1.5627,40000,1250,250,10,-0.0477
40000lx_1250_250us_30,2.3753,1.6252,40000,1250,250,30,0.7501
40000lx_1250_250us_50,2.9687,1.7573,40000,1250,250,50,1.2114
40000lx_1250_250us_70,3.2700,1.8758,40000,1250,250,70,1.3942
40000lx_1600_025us_00,0.9469,1.1169,40000,1600,25,0,-0.1700
40000lx_1600_025us_50,0.9645,1.1197,40000,1600,25,50,-0.1552
40000lx_1600_025us_70,0.9597,1.1094,40000,1600,25,70,-0.1497
40000lx_1600_025us_80,0.9886,1.1356,40000,1600,25,80,-0.1470
40000lx_1600_025us_90,0.9899,1.1207,40000,1600,25,90,-0.1308
40000lx_1600_050us_00,1.0950,1.2653,40000,1600,50,0,-0.1703
40000lx_1600_050us_10,1.1059,1.2528,40000,1600,50,10,-0.1469
40000lx_1600_050us_30,1.1411,1.2690,40000,1600,50,30,-0.1279
40000lx_1600_050us_50,1.2007,1.2921,40000,1600,50,50,-0.0914
40000lx_1600_050us_70,1.2662,1.2891,40000,1600,50,70,-0.0229
40000lx_1600_050us_90,1.3702,1.2991,40000,1600,50,90,0.0711
40000lx_1600_100us_00,1.2043,1.3695,40000,1600,100,0,-0.1652
40000lx_1600_100us_10,1.2270,1.3711,40000,1600,100,10,-0.1441
40000lx_1600_100us_30,1.4016,1.3898,40000,1600,100,30,0.0118
40000lx_1600_100us_50,1.6506,1.4241,40000,1600,100,50,0.2265
40000lx_1600_100us_70,1.9467,1.4575,40000,1600,100,70,0.4892
40000lx_1600_100us_90,2.2204,1.5054,40000,1600,100,90,0.7150
