IQA,BEW,N,PLCC,PLCC_p,SROCC,SROCC_p,KRCC,KRCC_p
hsmb,bew_h,47,-0.9902,0.0,-0.9831,0.0,-0.907,0.0
hsmb,bew_v,47,-0.9415,0.0,-0.9683,0.0,-0.8607,0.0
cpbd,bew_h,47,-0.3526,0.0151,-0.5578,0.0,-0.3765,0.0002
cpbd,bew_v,47,-0.5731,0.0,-0.6913,0.0,-0.4875,0.0
niqe,bew_h,47,0.6633,0.0,0.242,0.1012,0.1619,0.1085
niqe,bew_v,47,0.546,0.0001,0.2399,0.1043,0.173,0.0864
niqe_matlab,bew_h,47,-0.225,0.1284,-0.3405,0.0192,-0.2433,0.0159
niqe_matlab,bew_v,47,-0.3015,0.0394,-0.3152,0.0309,-0.2063,0.0409
piqe,bew_h,47,-0.0934,0.5321,-0.3706,0.0103,-0.3099,0.0021
piqe,bew_v,47,-0.0659,0.6601,-0.2484,0.0923,-0.2322,0.0213
brisque,bew_h,47,0.7578,0.0,0.6788,0.0,0.4931,0.0
brisque,bew_v,47,0.7163,0.0,0.6095,0.0,0.445,0.0
brisque_matlab,bew_h,47,-0.4584,0.0012,-0.2727,0.0637,-0.1582,0.1168
brisque_matlab,bew_v,47,-0.4705,0.0008,-0.3017,0.0393,-0.1323,0.1897
dbcnn,bew_h,47,-0.7366,0.0,-0.6467,0.0,-0.4709,0.0
dbcnn,bew_v,47,-0.5417,0.0001,-0.4659,0.001,-0.3191,0.0016
arniqa,bew_h,47,-0.6876,0.0,-0.4675,0.0009,-0.3506,0.0005
arniqa,bew_v,47,-0.429,0.0026,-0.3024,0.0388,-0.1989,0.0486
